               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 133,            0.033883,            0.016639,                   0,             0.58288,                 0.7,             0.50177,             0.17786,            0.035767,           0.0071776,                   0,           0.0010534,           0.0010534,            0.020753
                 134,            0.029574,            0.015723,                   0,             0.58329,              0.6999,             0.53992,             0.14819,            0.036711,            0.007102,                   0,           0.0010343,           0.0010343,            0.020134
                 135,            0.037593,            0.016567,                   0,              0.6132,                 0.8,             0.58006,             0.18343,            0.036736,           0.0068574,                   0,           0.0010163,           0.0010163,            0.019516
                 136,            0.032612,            0.016642,                   0,             0.66645,             0.79928,             0.62511,             0.20678,            0.035529,           0.0065528,                   0,          0.00099945,          0.00099945,            0.018899
                 137,            0.034516,            0.016686,                   0,             0.72687,                 0.8,             0.63749,             0.18196,            0.036691,           0.0065287,                   0,          0.00098375,          0.00098375,            0.018284
                 138,            0.033043,              0.0152,                   0,             0.63615,                 0.7,             0.60918,               0.178,            0.032615,           0.0065749,                   0,          0.00096927,          0.00096927,            0.017669
                 139,            0.030113,            0.015577,                   0,             0.63618,                 0.7,             0.56284,             0.17079,            0.035489,           0.0066216,                   0,          0.00095606,          0.00095606,            0.017056
                 140,            0.032411,             0.01566,                   0,             0.69976,                 0.7,             0.60504,             0.20072,            0.034639,           0.0066709,                   0,          0.00094415,          0.00094415,            0.016444
                 141,            0.031843,             0.01555,                   0,             0.79994,                 0.8,             0.69358,             0.22711,            0.032432,           0.0066689,                   0,          0.00093358,          0.00093358,            0.015834
                 142,            0.034488,            0.016713,                   0,             0.69999,             0.69996,             0.57883,             0.18149,            0.034781,           0.0067711,                   0,          0.00092441,          0.00092441,            0.015224
                 143,            0.033533,            0.017413,                   0,             0.79967,                 0.8,             0.70109,             0.19356,            0.031589,           0.0066816,                   0,          0.00091667,          0.00091667,            0.014617
                 144,            0.030523,             0.01657,                   0,             0.54506,                 0.6,             0.48641,             0.18843,            0.033393,           0.0067669,                   0,           0.0009104,           0.0009104,             0.01401
                 145,            0.032566,            0.016099,                   0,             0.44436,                 0.8,             0.47987,             0.19546,            0.032882,           0.0066288,                   0,          0.00090564,          0.00090564,            0.013406
                 146,            0.028938,            0.016849,                   0,             0.59898,                 0.6,             0.47405,             0.16409,            0.034556,           0.0067384,                   0,          0.00090243,          0.00090243,            0.012802
                 147,            0.031532,            0.013682,                   0,             0.39847,             0.59643,             0.41027,             0.17779,            0.032162,           0.0065861,                   0,          0.00090081,          0.00090081,            0.012201
                 148,            0.030909,            0.014467,                   0,             0.49945,                 0.5,             0.42065,             0.14264,            0.036236,            0.006749,                   0,          0.00090082,          0.00090082,            0.011601
                 149,            0.032708,            0.015182,                   0,             0.69964,                 0.7,             0.59423,             0.17727,            0.035226,           0.0066281,                   0,           0.0009025,           0.0009025,            0.011003
                 150,            0.031974,            0.015959,                   0,             0.69945,                 0.7,             0.55658,             0.13212,            0.037213,           0.0069279,                   0,          0.00090588,          0.00090588,            0.010406
